name,artist,mood

Good as Hell,Lizzo,Happy

Uptown Funk,Bruno Mars,Happy

Walking on Sunshine,Katrina and the Waves,Happy

Someone Like You,Adele,Sad

Fix You,Coldplay,Sad

Skinny Love,Bon Iver,Sad

Hallelujah,Jeff Buckley,Emotional

The Night We Met,Lord Huron,Emotional

All I Want,Kodaline,Emotional

Sunflower,Post Malone,Chill

Redbone,Childish Gambino,Chill

Come Away With Me,Norah Jones,Chill

Levitating,Dua Lipa,Party

Uptown Girl,Billy Joel,Party

I Gotta Feeling,Black Eyed Peas,Party

Till I Collapse,Eminem,Workout

Stronger,Kanye West,Workout

Can't Hold Us,Macklemore & Ryan Lewis,Workout

